date,code,company,market,category,level,score,matched,numbers,attention,title,url,announcementId,hasText,textChars
2026-06-26,600217,中再资环,SH,股东变动,高,100,质押、解除质押、一致行动,"53,394,635股、3.22%、51,000,000股、95.52%、3.08%",开户、减持服务、股东关系维护、质押风险和财富管理触达。,中再资环关于控股股东一致行动人部分股份解除质押暨部分股份再质押的公告,https://static.cninfo.com.cn/finalpage/2026-06-26/1225387713.PDF,1225387713,是,2228
2026-06-26,300164,通源石油,SZ,股东变动,高,100,减持,"13日、3个月、不超过795,240股、0.14%、8日",开户、减持服务、股东关系维护、质押风险和财富管理触达。,关于董事股份减持计划实施完毕的公告,https://static.cninfo.com.cn/finalpage/2026-06-26/1225393257.PDF,1225393257,是,1469
2026-06-27,001231,农心科技,SZ,资本运作,高,100,募投,"2,500.00万股、1元、17.77元、444,250,000.00元、67,858,200.00元",投行、再融资、并购整合、资金用途和综合金融服务。,华泰联合证券有限责任公司关于农心作物科技股份有限公司调整部分募投项目达到预定可使用状态时间的核查意见,https://static.cninfo.com.cn/finalpage/2026-06-27/1225392105.PDF,1225392105,是,4935
2026-06-27,001299,美能能源,SZ,资本运作,高,100,收购,"90%、21日、8日、7,395.78万元、22日",投行、再融资、并购整合、资金用途和综合金融服务。,关于收购上海立成90%股权进展暨完成工商变更登记的公告,https://static.cninfo.com.cn/finalpage/2026-06-27/1225389920.PDF,1225389920,是,1748
2026-06-27,600707,彩虹股份,SH,股东变动,高,92,权益变动,26日、90%,开户、减持服务、股东关系维护、质押风险和财富管理触达。,彩虹股份关于控股股东权益变动的提示性公告,https://static.cninfo.com.cn/finalpage/2026-06-27/1225391152.PDF,1225391152,是,1078
2026-06-26,600456,宝钛股份,SH,资本运作,高,92,可转换公司债券,25日、1日,投行、再融资、并购整合、资金用途和综合金融服务。,宝鸡钛业股份有限公司向不特定对象发行可转换公司债券网上中签结果公告,https://static.cninfo.com.cn/finalpage/2026-06-26/1225386982.PDF,1225386982,是,845
2026-06-27,688122,西部超导,SH,资本运作,高,92,上市,"29,600,000股、34.82%",投行、再融资、并购整合、资金用途和综合金融服务。,关于控股子公司西安聚能超导磁体科技股份有限公司申请向不特定合格投资者公开发行股票并在北京证券交易所上市进展的提示性公告,https://static.cninfo.com.cn/finalpage/2026-06-27/1225391150.PDF,1225391150,是,1132
2026-06-27,001231,农心科技,SZ,资本运作,高,88,募投,26日,投行、再融资、并购整合、资金用途和综合金融服务。,农心作物科技股份有限公司关于调整部分募投项目达到预定可使用状态时间的公告,https://static.cninfo.com.cn/finalpage/2026-06-27/1225392102.PDF,1225392102,是,5180
2026-06-27,601369,陕鼓动力,SH,资本运作,高,88,发行股份,36.06%,投行、再融资、并购整合、资金用途和综合金融服务。,西安陕鼓动力股份有限公司关于筹划发行股份购买资产暨关联交易事项的停牌公告,https://static.cninfo.com.cn/finalpage/2026-06-27/1225392075.PDF,1225392075,是,2095
2026-06-27,003009,中天火箭,SZ,资本运作,高,84,可转换公司债券,,投行、再融资、并购整合、资金用途和综合金融服务。,陕西中天火箭技术股份有限公司公开发行可转换公司债券受托管理事务报告（2025年度）,https://static.cninfo.com.cn/finalpage/2026-06-27/1225391033.PDF,1225391033,是,10141
2026-06-26,300487,蓝晓科技,SZ,分红业绩,中,75,权益分派,"509,135,722股、550,000股、508,585,722股、10股、1.73元",市值管理、投资者沟通、分红服务和业绩压力观察。,2025年年度权益分派实施公告,https://static.cninfo.com.cn/finalpage/2026-06-26/1225392925.PDF,1225392925,是,2948
2026-06-26,603139,康惠股份,SH,激励回购,中,75,限制性股票、授予,303.75%、0.30%、8812.50%、1.00%、50.31%,股权激励综合服务、员工账户、行权资金和股份支付影响。,康惠股份2026年限制性股票激励计划授予激励对象名单（授予日）,https://static.cninfo.com.cn/finalpage/2026-06-26/1225388851.PDF,1225388851,是,1477
2026-06-26,603139,康惠股份,SH,激励回购,中,75,限制性股票、授予,25日、799.04万股、20元/股、27日,股权激励综合服务、员工账户、行权资金和股份支付影响。,康惠股份关于向2026年限制性股票激励计划激励对象授予限制性股票的公告,https://static.cninfo.com.cn/finalpage/2026-06-26/1225388845.PDF,1225388845,是,4461
2026-06-27,001231,农心科技,SZ,治理人事,中,71,董事,22日、26日、100%,董办关系维护、治理变化、关键联系人和客户关系提示。,农心作物科技股份有限公司第三届董事会第五次会议决议的公告,https://static.cninfo.com.cn/finalpage/2026-06-27/1225392098.PDF,1225392098,是,964
2026-06-26,603139,康惠股份,SH,激励回购,中,71,限制性股票,25日、27日、13日,股权激励综合服务、员工账户、行权资金和股份支付影响。,康惠股份关于调整2026年限制性股票激励计划相关事项的公告,https://static.cninfo.com.cn/finalpage/2026-06-26/1225388846.PDF,1225388846,是,1642
2026-06-27,001231,农心科技,SZ,治理人事,中,67,董事、独立董事,22日、26日,董办关系维护、治理变化、关键联系人和客户关系提示。,农心作物科技股份有限公司第三届董事会第三次独立董事专门会议决议的公告,https://static.cninfo.com.cn/finalpage/2026-06-27/1225392099.PDF,1225392099,是,795
2026-06-26,603139,康惠股份,SH,治理人事,中,63,董事,25日,董办关系维护、治理变化、关键联系人和客户关系提示。,康惠股份第六届董事会第十三次会议决议公告,https://static.cninfo.com.cn/finalpage/2026-06-26/1225388847.PDF,1225388847,是,1359
2026-06-26,300831,派瑞股份,SZ,治理人事,中,63,董事、董事长,26日,董办关系维护、治理变化、关键联系人和客户关系提示。,关于选举公司董事、董事长及调整专门委员会委员的公告,https://static.cninfo.com.cn/finalpage/2026-06-26/1225392655.PDF,1225392655,是,1745
2026-06-26,300831,派瑞股份,SZ,治理人事,中,63,董事,26日,董办关系维护、治理变化、关键联系人和客户关系提示。,第三届董事会第十五次会议决议公告,https://static.cninfo.com.cn/finalpage/2026-06-26/1225392652.PDF,1225392652,是,1305
2026-06-26,920564,天润科技,BJ,治理人事,中,59,章程,,董办关系维护、治理变化、关键联系人和客户关系提示。,公司章程,https://static.cninfo.com.cn/finalpage/2026-06-26/1225391196.PDF,1225391196,是,34273
2026-06-26,603139,康惠股份,SH,激励回购,中,59,限制性股票、授予,,股权激励综合服务、员工账户、行权资金和股份支付影响。,北京德恒律师事务所关于陕西康惠制药股份有限公司2026年限制性股票激励计划调整及授予事项之法律意见,https://static.cninfo.com.cn/finalpage/2026-06-26/1225388842.PDF,1225388842,是,0
